"filename", "language", "Markdown", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\HP\Desktop\FastFoodRestaurant\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Desktop\FastFoodRestaurant\css\reset.css", "CSS", 0, 0, 52, 0, 1, 0, 53
"c:\Users\HP\Desktop\FastFoodRestaurant\css\style.css", "CSS", 0, 0, 535, 0, 7, 19, 561
"c:\Users\HP\Desktop\FastFoodRestaurant\images\Group 1300.svg", "XML", 0, 6, 0, 0, 0, 1, 7
"c:\Users\HP\Desktop\FastFoodRestaurant\images\Group 1385.svg", "XML", 0, 10, 0, 0, 0, 1, 11
"c:\Users\HP\Desktop\FastFoodRestaurant\images\Group 1398.svg", "XML", 0, 8, 0, 0, 0, 1, 9
"c:\Users\HP\Desktop\FastFoodRestaurant\images\Group 1399.svg", "XML", 0, 8, 0, 0, 0, 1, 9
"c:\Users\HP\Desktop\FastFoodRestaurant\images\Path 4240.svg", "XML", 0, 3, 0, 0, 0, 1, 4
"c:\Users\HP\Desktop\FastFoodRestaurant\index.html", "HTML", 0, 0, 0, 293, 0, 34, 327
"Total", "-", 1, 35, 587, 293, 8, 58, 982
